avg std qt1 qt2 qt3 min max
33580.8 7156.91 30929.5 33257 35091 29147 587967
35183.6 5793.54 31849 34446 36333.5 28964 253758
33846.8 6078.13 31437 33808 34931.5 29111 507039
35972.9 17715 32451 35776.5 37121 29885 1.42524e+06
33991.9 6007.17 31099 33511 35582 29075 508732
33972.2 4641.39 31712.5 33983.5 35161.5 29229 374157
33672.3 2814.05 31432.5 33751 34762.5 29146 94665
34190.4 4651.59 31550 33928 35713 29544 361938
33899.8 3295.02 31610 33920 34983 29316 189331
34030.5 3110.79 31649 34007 35089 29067 101756
33876.2 4504.89 31491 33885 34989 29106 358607
33962 16544.5 31140 33269 35136 29106 992474
33706 2625.75 31529 33895.5 34917 29212 80696
34497.6 3572.59 31601 34202 36163.5 29650 84847
35000 4286.02 32018.5 34457 36049 29025 143757
35571.4 7161.73 32179 34682 36490.5 29221 564133
33897.5 2872.51 31660 33903.5 35045.5 29358 92179
34289.6 3246.38 31913.5 34201 35311 29177 103068
33918.4 3001.92 31579 33984.5 35142 29082 113565
38223.2 33102.7 33483 35531 39305.5 29287 1.76488e+06
37076.3 7055.49 31982 35178 39055 29435 127186
44493 130371 33365.5 34950 38895 29328 4.62468e+06
35248 8751.22 31745.5 34558.5 36998.5 29158 534109
35255.7 2820.73 33295 34939 36246 30897 114287
33636.4 3473.5 31513 33665 34769 29337 274901
33372.3 2470.73 31368.5 33505 34465 29128 98399
33168.3 2274.47 31111.5 33428 34293 28972 85885
33574.1 2308.37 31627 33790.5 34779 29190 107408
33440.1 2378.27 31425 33682 34607 29123 98885
33158.4 2795.86 30854.5 33103 34780 29000 104537
33401.1 2330.6 31474 33577 34538 29286 93478
33293.5 3671.16 30934 33107 34712 29072 267917
33218.2 2678.43 30992 33054.5 34770 29175 103963
33394.9 2484.17 31357 33537 34563.5 29021 122741
33106.1 2616.14 30840 33097.5 34713.5 29020 91203
33309.7 2436.04 31254.5 33569 34533.5 28961 100243
33034.9 2270.65 30984 33272 34178 28932 84052
33483.6 2696.33 31394.5 33653 34723 29270 145187
33455.8 19342.9 30744.5 32925 34529 28915 1.54916e+06
33406.5 3445.31 31199 33582.5 34566 29157 273607
33331.5 2323.41 31239.5 33591 34496 29153 88041
33100.9 2702.15 31017.5 33290.5 34223 28968 150947
32929.4 2723.15 30643 32703 34415 28826 88147
33848.9 2849.93 31410 33939 35588 29000 118684
33229.1 2855.12 30896 33170 34789 28943 104772
33490 2412.61 31465.5 33627 34666 29219 105271
34364.2 2839.5 31708 34424 35739.5 29471 95834
33454.7 3281.15 31375 33735 34673 29442 270025
33458.2 2960.87 31078.5 33151.5 34743 29182 96773
