avg std qt1 qt2 qt3 min max
35668.1 2780.55 33412.5 35501 37222 31096 98658
36238.4 2769.19 34050 36474 37479.5 31774 165189
35904.9 2943.37 33512 35606.5 37398 31431 107380
35759.1 2519.35 33607 35962.5 36968 31131 101360
36119.2 3097.38 33645 35886 37561.5 31493 105899
36019.5 2414.29 34017.5 36180 37166 31609 108674
35950.4 2883.79 33661.5 35643.5 37183.5 31751 116759
36263.4 2917.87 33836.5 36254 38024 31646 116556
36074.9 2328.97 34066.5 36328.5 37238 31665 108196
36177.9 2813.65 33837.5 36045.5 37870 31850 116536
35929.6 2861.01 33600 35745.5 37500.5 31774 103427
35959.3 2848.23 33659 35728.5 37456.5 31401 93302
35989.9 2990.17 33579 35778 37382 31420 110148
36268.9 3014.53 33850 36142.5 37897 31805 104888
36141.2 2712.73 34151 36304 37327 31412 158190
35684 2861.89 33345 35511 37245.5 31274 116083
35962.3 2575.72 33915 36125 37132 31210 103608
36241.6 3443.39 34087 36447 37477 31764 276269
35932.6 3693.06 33551 35784 37528.5 31204 268688
36661.3 50962.1 33179.5 35333 36999 30932 3.14982e+06
35327.7 3790.83 32948 34880.5 36753.5 31051 273250
35922.2 2550.47 33751 36119 37170 31198 103743
36035.3 3005.09 33646 35737.5 37659.5 31354 114385
35394 2705.92 33055 35412.5 37063 31156 85258
35356.4 2354.92 33292 35605 36550.5 31156 105733
35922.1 2553.83 33873.5 36044.5 37081 31343 97148
35492 2775.06 33164 35414.5 37101 31150 94735
35752.5 2930.29 33362 35447.5 37361.5 31162 112966
36010.7 2518.52 33888 36277 37183 31703 97466
35638 2819.03 33334 35451 37187 30988 102867
35544.6 2948.38 33203 35192 36923 31305 119766
35520.5 4026.37 33077 35043 36651 31023 274095
35750.4 2953.62 33359.5 35508.5 37209.5 31191 93716
36242.4 2927.88 33812.5 36067.5 38011.5 31594 107757
35738.8 2629.72 33564.5 35888 36935.5 31480 102806
35946 2566.95 33977 36041 37114 31603 100653
35771.6 2925.85 33538 35468 37155 31441 101834
36061.6 3050.42 33564 35769 37741 31311 85392
35778.6 3127.98 33378 35355.5 37173.5 31030 99508
36235.3 2471.1 34236 36454.5 37447 31741 102236
36100.2 3043.57 34031.5 36213 37257 31726 198777
36168.9 2566.4 34043.5 36252 37354 31685 101832
35736.1 3662.75 33437.5 35322.5 37306 31302 267365
35926.7 3517.31 33480 35652.5 37534.5 31276 229147
35802.6 3188.88 33369 35731 37486 31291 156475
35412.7 2302.6 33358 35809 36631 31137 89053
35523.7 2914.26 33159.5 35289.5 37081.5 31086 92732
36107.8 2686.1 34067 36364 37346 31415 151357
35390.5 3048.14 33054.5 34945 36585.5 31297 89029
35920.3 6637.96 33498.5 35719 37541.5 31311 624504
